ticker,event_date,v_actual_date,event_type,move_pct,atr_pct,normalized_move,close,market_cap_m,nct_id,drug_name,indication,ct_conditions,ct_phase,ct_enrollment,ct_status,ct_sponsor,ct_official_title,ct_allocation,ct_primary_completion,catalyst_type,v_is_material,data_tier,match_type,days_offset,move_class_abs,stock_movement_atr_normalized,move_class_norm,target_large_move
AZN,2008-06-13,2008-06-13,Gainer,0.15,,,20.61,,NCT00313170,Fulvestrant,Advanced Breast Cancer; Metastatic Breast Cancer,Advanced Breast Cancer; Metastatic Breast Cancer,PHASE2,144,COMPLETED,AstraZeneca,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2009-09-02,2009-09-02,Gainer,0.24,,,22.09,,NCT00471497,nilotinib,"Myelogenous Leukemia, Chronic","Myelogenous Leukemia, Chronic",PHASE3,846,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
SNY,2009-12-02,2009-12-02,Gainer,1.09,,,20.79,,NCT00537095,Vandetanib,Thyroid Neoplasms,Thyroid Neoplasms,PHASE2,164,COMPLETED,"Genzyme, a Sanofi Company",,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
LLY,2010-02-15,2010-02-15,Gainer,0.38,,,22.62,,NCT00709995,Enzastaurin,Metastatic Renal Cell Carcinoma,Metastatic Renal Cell Carcinoma,PHASE2,17,COMPLETED,Eli Lilly and Company,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2010-06-18,2010-06-18,Loser,-0.51,,,24.26,,NCT00281658,Lapatinib (GW572016) oral tablets,"Neoplasms, Breast","Neoplasms, Breast",PHASE3,444,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
LLY,2010-12-28,2010-12-28,Loser,-0.06,,,24.24,,NCT00451555,enzastaurin,Breast Cancer,Breast Cancer,PHASE2,156,COMPLETED,Eli Lilly and Company,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
MRK,2011-04-30,2011-04-30,Gainer,1.0,,,21.19,,NCT00943722,V503,Cervical Cancers; Vulvar Cancer; Vaginal Cancer; Genital Lesions; PAP Test Abnormalities; HPV Infections,Cervical Cancers; Vulvar Cancer; Vaginal Cancer; Genital Lesions; PAP Test Abnormalities; HPV Infections,PHASE3,3074,COMPLETED,Merck Sharp & Dohme LLC,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
MRK,2011-09-06,2011-09-06,Loser,-0.37,,,19.02,,NCT00875056,Vorinostat,Lymphoma,Lymphoma,PHASE2,56,COMPLETED,Merck Sharp & Dohme LLC,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2012-05-21,2012-05-21,Gainer,0.56,,,28.2,,NCT00720941,Pazopanib,"Carcinoma, Renal Cell","Carcinoma, Renal Cell",PHASE3,1110,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BMY,2012-09-28,2012-09-28,Loser,-0.3,,,21.65,,NCT00908752,Brivanib,Hepatocellular Carcinoma,Hepatocellular Carcinoma,PHASE3,734,COMPLETED,Bristol-Myers Squibb,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2013-06-28,2013-06-28,Gainer,0.41,,,39.8,,NCT01327053,LDE225,Basal Cell Carcinoma,Basal Cell Carcinoma,PHASE2,230,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BMY,2013-07-26,2013-07-26,Gainer,0.66,,,29.43,,NCT00636168,ipilimumab,High Risk Stage III Melanoma,High Risk Stage III Melanoma,PHASE3,1211,COMPLETED,Bristol-Myers Squibb,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2013-08-12,2013-08-12,Loser,-1.92,,,13.56,303.8,NCT00321685,Bevacizumab,Rectal Adenocarcinoma; Stage II Rectal Cancer AJCC v7; Stage III Rectal Cancer AJCC v7,Rectal Adenocarcinoma; Stage II Rectal Cancer AJCC v7; Stage III Rectal Cancer AJCC v7,PHASE2,57,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2013-08-26,2013-08-26,Loser,-0.38,,,42.29,,NCT01584648,Dabrafenib,Melanoma,Melanoma,PHASE3,423,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2013-12-31,2013-12-31,Gainer,2.79,,,14.66,303.8,NCT01041638,Aldesleukin,High Risk Neuroblastoma,High Risk Neuroblastoma,PHASE3,105,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2014-01-07,2014-01-07,Loser,-1.12,,,14.48,303.8,NCT00684983,Capecitabine,HER2 Positive Breast Carcinoma; Recurrent Breast Carcinoma; Stage IIIB Breast Cancer AJCC v7; Stage IIIC Breast Cancer AJCC v7; Stage IV Breast Cancer AJCC v6 and v7,HER2 Positive Breast Carcinoma; Recurrent Breast Carcinoma; Stage IIIB Breast Cancer AJCC v7; Stage IIIC Breast Cancer AJCC v7; Stage IV Breast Cancer AJCC v6 and v7,PHASE2,64,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BMY,2014-01-22,2014-01-22,Gainer,0.4,,,37.01,,NCT01721759,Nivolumab,Squamous Cell Non-small Cell Lung Cancer,Squamous Cell Non-small Cell Lung Cancer,PHASE2,117,COMPLETED,Bristol-Myers Squibb,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
MRK,2014-02-12,2014-02-12,Loser,-1.26,,,35.91,,NCT01524289,Anacetrapib,"Hyperlipoproteinemia Type II; Hypercholesterolemia, Familial","Hyperlipoproteinemia Type II; Hypercholesterolemia, Familial",PHASE3,306,COMPLETED,Merck Sharp & Dohme LLC,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2014-05-01,2014-05-01,Loser,-2.98,,,11.91,303.8,NCT00979992,Laboratory Biomarker Analysis,Ovarian Clear Cell Adenocarcinoma; Recurrent Ovarian Carcinoma,Ovarian Clear Cell Adenocarcinoma; Recurrent Ovarian Carcinoma,PHASE2,35,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
AZN,2014-05-05,2014-05-05,Loser,-1.42,,,55.06,,NCT01544179,Gefitinib,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,PHASE3,265,COMPLETED,AstraZeneca,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
LLY,2014-05-22,2014-05-22,Gainer,1.1,,,48.17,,NCT01646177,Placebo,Psoriasis,Psoriasis,PHASE3,1346,COMPLETED,Eli Lilly and Company,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
GILD,2014-07-31,2014-07-31,Loser,-2.39,,,63.25,,NCT01818596,E/C/F/TAF,HIV; HIV Infections,HIV; HIV Infections,PHASE3,252,COMPLETED,Gilead Sciences,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2014-08-04,2014-08-04,Gainer,0.15,,,50.64,,NCT01649375,Secukinumab (75 mg),Anklyosing Spondylitis,Anklyosing Spondylitis,PHASE3,219,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BMY,2014-09-02,2014-09-02,Loser,-0.14,,,34.64,,NCT01239797,Lenalidomide,Lymphoma; Multiple Myeloma,Lymphoma; Multiple Myeloma,PHASE3,646,COMPLETED,Bristol-Myers Squibb,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2014-10-31,2014-10-31,Loser,-1.49,,,12.38,303.8,NCT01253070,Biopsy,Acute Myeloid Leukemia With FLT3/ITD Mutation; Acute Myeloid Leukemia With Inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11; Acute Myeloid Leukemia With t(8;21); (q22; q22.1); RUNX1-RUNX1T1; Acute Promyelocytic Leukemia With PML-RARA; FLT3 Gene Mutation; Therapy-Related Acute Myeloid Leukemia,Acute Myeloid Leukemia With FLT3/ITD Mutation; Acute Myeloid Leukemia With Inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11; Acute Myeloid Leukemia With t(8;21); (q22; q22.1); RUNX1-RUNX1T1; Acute Promyelocytic Leukemia With PML-RARA; FLT3 Gene Mutation; Therapy-Related Acute Myeloid Leukemia,PHASE2,54,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2014-11-28,2014-11-28,Gainer,1.14,,,56.23,,NCT01524783,Everolimus,Advanced NET of GI Origin; Advanced NET of Lung Origin; Neuroendocrine Tumors,Advanced NET of GI Origin; Advanced NET of Lung Origin; Neuroendocrine Tumors,PHASE3,302,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
RHHBY,2015-03-10,2015-03-10,Loser,-1.69,,,22.59,,NCT01566721,Herceptin,Breast Neoplasms,Breast Neoplasms,PHASE3,2577,COMPLETED,Hoffmann-La Roche,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
RHHBY,2015-04-02,2015-04-02,Gainer,0.67,,,24.18,,NCT01247324,Interferon beta-1a,Relapsing Multiple Sclerosis,Relapsing Multiple Sclerosis,PHASE3,821,COMPLETED,Hoffmann-La Roche,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BMY,2015-05-06,2015-05-06,Loser,-0.55,,,45.15,,NCT01668784,Nivolumab,Advanced or Metastatic (Medically or Surgically Unresectable) Clear-cell Renal Cell Carcinoma,Advanced or Metastatic (Medically or Surgically Unresectable) Clear-cell Renal Cell Carcinoma,PHASE3,821,COMPLETED,Bristol-Myers Squibb,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
RHHBY,2015-05-12,2015-05-12,Loser,-0.14,,,24.86,,NCT01412333,Interferon beta-1a,Relapsing Multiple Sclerosis,Relapsing Multiple Sclerosis,PHASE3,835,COMPLETED,Hoffmann-La Roche,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2015-05-21,2015-05-21,Loser,-0.07,,,11.33,303.8,NCT01015833,Doxorubicin Hydrochloride,Advanced Adult Hepatocellular Carcinoma; Recurrent Hepatocellular Carcinoma; Stage III Hepatocellular Carcinoma AJCC v7; Stage IIIA Hepatocellular Carcinoma AJCC v7; Stage IIIB Hepatocellular Carcinoma AJCC v7; Stage IIIC Hepatocellular Carcinoma AJCC v7; Stage IV Hepatocellular Carcinoma AJCC v7; Stage IVA Hepatocellular Carcinoma AJCC v7; Stage IVB Hepatocellular Carcinoma AJCC v7; Unresectable Hepatocellular Carcinoma,Advanced Adult Hepatocellular Carcinoma; Recurrent Hepatocellular Carcinoma; Stage III Hepatocellular Carcinoma AJCC v7; Stage IIIA Hepatocellular Carcinoma AJCC v7; Stage IIIB Hepatocellular Carcinoma AJCC v7; Stage IIIC Hepatocellular Carcinoma AJCC v7; Stage IV Hepatocellular Carcinoma AJCC v7; Stage IVA Hepatocellular Carcinoma AJCC v7; Stage IVB Hepatocellular Carcinoma AJCC v7; Unresectable Hepatocellular Carcinoma,PHASE3,356,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
MRK,2015-06-10,2015-06-10,Gainer,1.31,,,40.44,,NCT02105688,Grazoprevir 100 mg/Elbasvir 50 mg FDC tablet (MK-5172A),Chronic Hepatitis C,Chronic Hepatitis C,PHASE3,301,COMPLETED,Merck Sharp & Dohme LLC,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BIIB,2015-06-16,2015-06-16,Loser,0.0,,,388.28,,NCT01838668,Placebo,Relapsing-Remitting Multiple Sclerosis; Multiple Sclerosis,Relapsing-Remitting Multiple Sclerosis; Multiple Sclerosis,PHASE3,225,COMPLETED,Biogen,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2015-06-30,2015-06-30,Gainer,0.14,,,11.21,303.8,NCT02097238,Eribulin Mesylate,Recurrent Osteosarcoma,Recurrent Osteosarcoma,PHASE2,19,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
RHHBY,2015-07-09,2015-07-09,Gainer,1.64,,,24.62,,NCT01519960,peginterferon alfa-2a [Pegasys],"Hepatitis B, Chronic","Hepatitis B, Chronic",PHASE3,165,COMPLETED,Hoffmann-La Roche,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BIIB,2015-07-23,2015-07-23,Loser,-1.71,,,385.05,,NCT01260506,VB-111,Glioblastoma Multiforme,Glioblastoma Multiforme,PHASE1/PHASE2,75,COMPLETED,Vascular Biogenics Ltd. operating as VBL Therapeutics,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
RHHBY,2015-07-23,2015-07-23,Gainer,0.5,,,25.26,,NCT01194570,Ocrelizumab,"Multiple Sclerosis, Primary Progressive","Multiple Sclerosis, Primary Progressive",PHASE3,735,COMPLETED,Hoffmann-La Roche,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
AZN,2015-08-11,2015-08-11,Gainer,0.09,,,48.9,,NCT01959165,MEDI7183 low dose,Ulcerative Colitis,Ulcerative Colitis,PHASE2,44,COMPLETED,AstraZeneca,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
GILD,2015-08-12,2015-08-12,Gainer,0.55,,,80.6,,NCT02121795,FTC/TDF,HIV-1 Infection,HIV-1 Infection,PHASE3,668,COMPLETED,Gilead Sciences,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
LLY,2015-08-19,2015-08-19,Gainer,0.46,,,70.0,,NCT02163993,Galcanezumab,Migraine Headache,Migraine Headache,PHASE2,414,COMPLETED,Eli Lilly and Company,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2015-08-27,2015-08-27,Gainer,7.82,,,10.23,303.8,NCT00326898,Laboratory Biomarker Analysis,Clear Cell Renal Cell Carcinoma; Stage I Renal Cell Cancer AJCC v6 and v7; Stage II Renal Cell Cancer AJCC v7; Stage III Renal Cell Cancer AJCC v7,Clear Cell Renal Cell Carcinoma; Stage I Renal Cell Cancer AJCC v6 and v7; Stage II Renal Cell Cancer AJCC v7; Stage III Renal Cell Cancer AJCC v7,PHASE3,1943,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Medium,,,0
AMGN,2015-09-13,2015-09-13,Loser,-1.44,,,110.84,,NCT02384317,CCX168,Immunoglobulin A Nephropathy,Immunoglobulin A Nephropathy,PHASE2,7,COMPLETED,Amgen,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2015-09-16,2015-09-16,Gainer,0.24,,,9.81,303.8,NCT01818440,3D Roadmap software,Image-Guided Surgery,Image-Guided Surgery,PHASE2,28,COMPLETED,National Institutes of Health Clinical Center (CC),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2015-09-29,2015-09-29,Loser,-0.35,,,53.56,,NCT02038036,Best Available Therapy,Polycythemia Vera,Polycythemia Vera,PHASE3,149,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
GILD,2015-09-30,2015-09-30,Gainer,2.28,,,68.35,,NCT01940341,TAF,HBeAg-negative Chronic Hepatitis B,HBeAg-negative Chronic Hepatitis B,PHASE3,426,COMPLETED,Gilead Sciences,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2015-09-30,2015-09-30,Gainer,1.96,,,9.47,303.8,NCT00924326,Fludarabine,"Primary Mediastinal B-cell Lymphoma; Diffuse, Large B-cell Lymphoma; Diffuse Large B-Cell Lymphoma Transformed From Follicular Lymphoma; Mantle Cell","Primary Mediastinal B-cell Lymphoma; Diffuse, Large B-cell Lymphoma; Diffuse Large B-Cell Lymphoma Transformed From Follicular Lymphoma; Mantle Cell",PHASE1/PHASE2,43,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
MRK,2015-09-30,2015-09-30,Gainer,1.52,,,34.05,,NCT01905657,Pembrolizumab,Non Small Cell Lung Cancer (NSCLC),Non Small Cell Lung Cancer (NSCLC),PHASE2/PHASE3,1034,COMPLETED,Merck Sharp & Dohme LLC,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2015-10-02,2015-10-02,Gainer,3.02,,,9.48,303.8,NCT01609790,Bevacizumab,Giant Cell Glioblastoma; Glioblastoma; Gliosarcoma; Oligodendroglioma; Recurrent Brain Neoplasm; Recurrent Glioblastoma,Giant Cell Glioblastoma; Glioblastoma; Gliosarcoma; Oligodendroglioma; Recurrent Brain Neoplasm; Recurrent Glioblastoma,PHASE2,137,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2015-10-14,2015-10-14,Loser,-0.66,,,10.72,303.8,NCT00520130,Rituximab,Myelodysplastic Syndrome; Hodgkin's Lymphoma; Non-Hodgkin's Disease; Acute Leukemia; Multiple Myeloma,Myelodysplastic Syndrome; Hodgkin's Lymphoma; Non-Hodgkin's Disease; Acute Leukemia; Multiple Myeloma,PHASE1/PHASE2,92,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2015-10-22,2015-10-22,Gainer,3.41,,,11.53,303.8,NCT01709084,Rilpivirine,Human Immunodeficiency Virus-type 1 Infection,Human Immunodeficiency Virus-type 1 Infection,PHASE3,426,COMPLETED,Janssen-Cilag International NV,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
AMGN,2015-11-05,2015-11-05,Loser,-0.41,,,118.34,,NCT02096666,AMG 337,Stomach Neoplasms,Stomach Neoplasms,PHASE1/PHASE2,11,COMPLETED,Amgen,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BMY,2015-11-06,2015-11-06,Loser,-0.15,,,46.24,,NCT02105636,Nivolumab,Squamous Cell Carcinoma of the Head and Neck,Squamous Cell Carcinoma of the Head and Neck,PHASE3,361,COMPLETED,Bristol-Myers Squibb,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
MRK,2015-11-16,2015-11-16,Gainer,1.26,,,37.02,,NCT01704287,Pembrolizumab,Malignant Melanoma,Malignant Melanoma,PHASE2,540,COMPLETED,Merck Sharp & Dohme LLC,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
GILD,2015-11-16,2015-11-16,Gainer,1.21,,,72.26,,NCT01940471,TAF,HBeAg-positive Chronic Hepatitis B,HBeAg-positive Chronic Hepatitis B,PHASE3,875,COMPLETED,Gilead Sciences,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
RHHBY,2015-11-19,2015-11-19,Gainer,0.09,,,23.24,,NCT01903993,Docetaxel,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,PHASE2,287,COMPLETED,Hoffmann-La Roche,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BMY,2015-11-24,2015-11-24,Loser,-0.25,,,47.91,,NCT01835470,Abatacept,Juvenile Idiopathic Arthritis,Juvenile Idiopathic Arthritis,PHASE3,23,COMPLETED,Bristol-Myers Squibb,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2015-12-06,2015-12-06,Gainer,0.25,,,12.58,303.8,NCT01062425,3-Dimensional Conformal Radiation Therapy,Adult Glioblastoma; Adult Gliosarcoma,Adult Glioblastoma; Adult Gliosarcoma,PHASE2,261,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2015-12-17,2015-12-17,Loser,-1.4,,,51.03,,NCT01698918,Everolimus,Hormone Receptor Positive Breast Cancer,Hormone Receptor Positive Breast Cancer,PHASE2,202,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2016-01-11,2016-01-11,Gainer,5.95,,,11.75,303.8,NCT01849250,Docosahexaenoic Acid,Benign Breast Neoplasm; Ductal Breast Carcinoma In Situ; Invasive Breast Carcinoma; Lobular Breast Carcinoma In Situ; Paget Disease of the Breast; Stage IA Breast Cancer; Stage IB Breast Cancer; Stage IIA Breast Cancer; Stage IIB Breast Cancer; Stage IIIA Breast Cancer; Stage IIIB Breast Cancer; Stage IIIC Breast Cancer,Benign Breast Neoplasm; Ductal Breast Carcinoma In Situ; Invasive Breast Carcinoma; Lobular Breast Carcinoma In Situ; Paget Disease of the Breast; Stage IA Breast Cancer; Stage IB Breast Cancer; Stage IIA Breast Cancer; Stage IIB Breast Cancer; Stage IIIA Breast Cancer; Stage IIIB Breast Cancer; Stage IIIC Breast Cancer,PHASE2,65,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Medium,,,0
MRK,2016-01-25,2016-01-25,Loser,-0.84,,,35.41,,NCT01228734,Cetuximab,Metastatic Colorectal Cancer,Metastatic Colorectal Cancer,PHASE3,553,COMPLETED,"Merck KGaA, Darmstadt, Germany",,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
VCEL,2016-02-01,2016-02-01,Gainer,1.42,,,2.14,1804.5,NCT01670981,ixmyelocel-T,Ischemic Dilated Cardiomyopathy (IDCM),Ischemic Dilated Cardiomyopathy (IDCM),PHASE2,114,COMPLETED,Vericel Corporation,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
RHHBY,2016-02-01,2016-02-01,Gainer,0.15,,,22.57,,NCT01332968,Obinutuzumab,Non-Hodgkin's Lymphoma,Non-Hodgkin's Lymphoma,PHASE3,1401,COMPLETED,Hoffmann-La Roche,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2016-02-17,2016-02-17,Loser,-1.09,,,11.85,303.8,NCT03542656,amyloid PET,Cerebral Amyloid Angiopathy; Intracranial Hemorrhages; Alzheimer Disease,Cerebral Amyloid Angiopathy; Intracranial Hemorrhages; Alzheimer Disease,PHASE3,160,COMPLETED,National Taiwan University Hospital,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2016-02-23,2016-02-23,Loser,-0.78,,,44.06,,NCT02159053,Secukinumab,"Spondylitis, Ankylosing","Spondylitis, Ankylosing",PHASE3,350,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
RHHBY,2016-03-03,2016-03-03,Loser,-1.09,,,22.85,,NCT02132949,5-Fluorouracil,Breast Cancer,Breast Cancer,PHASE2,401,COMPLETED,Hoffmann-La Roche,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2016-03-11,2016-03-11,Gainer,1.46,,,46.27,,NCT01160211,Lapatinib,"Neoplasms, Breast","Neoplasms, Breast",PHASE3,369,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2016-03-28,2016-03-28,Gainer,3.12,,,12.1,303.8,NCT02129075,DEC-205/NY-ESO-1 Fusion Protein CDX-1401,Cutaneous Melanoma; Melanoma; Melanoma of Unknown Primary; Mucosal Melanoma; Ocular Melanoma; Stage IIB Cutaneous Melanoma AJCC v6 and v7; Stage IIC Cutaneous Melanoma AJCC v6 and v7; Stage III Cutaneous Melanoma AJCC v7; Stage IIIA Cutaneous Melanoma AJCC v7; Stage IIIB Cutaneous Melanoma AJCC v7; Stage IIIC Cutaneous Melanoma AJCC v7; Stage IV Cutaneous Melanoma AJCC v6 and v7,Cutaneous Melanoma; Melanoma; Melanoma of Unknown Primary; Mucosal Melanoma; Ocular Melanoma; Stage IIB Cutaneous Melanoma AJCC v6 and v7; Stage IIC Cutaneous Melanoma AJCC v6 and v7; Stage III Cutaneous Melanoma AJCC v7; Stage IIIA Cutaneous Melanoma AJCC v7; Stage IIIB Cutaneous Melanoma AJCC v7; Stage IIIC Cutaneous Melanoma AJCC v7; Stage IV Cutaneous Melanoma AJCC v6 and v7,PHASE2,60,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BMY,2016-04-08,2016-04-08,Loser,-0.32,,,47.21,,NCT02038933,Nivolumab,Lymphoma. Non-Hodgkin,Lymphoma. Non-Hodgkin,PHASE2,121,COMPLETED,Bristol-Myers Squibb,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
AZN,2016-04-14,2016-04-14,Gainer,0.34,,,44.53,,NCT02127710,AZD6094,Papillary Renal Cell Cancer,Papillary Renal Cell Cancer,PHASE2,111,COMPLETED,AstraZeneca,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
BMY,2016-04-15,2016-04-15,Gainer,0.27,,,48.62,,NCT02387996,Nivolumab,Various Advanced Cancer,Various Advanced Cancer,PHASE2,270,COMPLETED,Bristol-Myers Squibb,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
LLY,2016-04-30,2016-04-30,Gainer,1.62,,,64.99,,NCT02102490,Abemaciclib,Metastatic Breast Cancer,Metastatic Breast Cancer,PHASE2,132,COMPLETED,Eli Lilly and Company,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
MRK,2016-05-09,2016-05-09,Gainer,0.93,,,37.95,,NCT02142738,Pembrolizumab,Non-Small Cell Lung Carcinoma,Non-Small Cell Lung Carcinoma,PHASE3,305,COMPLETED,Merck Sharp & Dohme LLC,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2016-06-01,2016-06-01,Gainer,1.09,,,11.34,303.8,NCT02344407,VSVG-ZEBOV,Ebola Virus,Ebola Virus,PHASE2,1500,COMPLETED,National Institute of Allergy and Infectious Diseases (NIAID),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2016-06-01,2016-06-01,Gainer,0.15,,,49.5,,NCT01844765,nilotinib,Philadelphia Positive (Ph+) Chronic Myelogenous Leukemia,Philadelphia Positive (Ph+) Chronic Myelogenous Leukemia,PHASE2,59,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
